actionNumber;clock;timeActual;period;periodType;actionType;subType;qualifiers;personId;x;y;possession;scoreHome;scoreAway;edited;orderNumber;xLegacy;yLegacy;isFieldGoal;side;description;personIdsFilter;teamId;teamTricode;descriptor;jumpBallRecoveredName;jumpBallWonPlayerName;jumpBallWonPersonId;jumpBallLostPlayerName;jumpBallLostPersonId;officialId;turnoverTotal;playerName;playerNameI;foulPersonalTotal;foulTechnicalTotal;foulDrawnPlayerName;foulDrawnPersonId;shotResult;pointsTotal;shotDistance;assistPlayerNameInitial;assistPersonId;assistTotal;shotActionNumber;reboundTotal;reboundDefensiveTotal;reboundOffensiveTotal;blockPlayerName;blockPersonId;jumpBallRecoverdPersonId;stealPlayerName;stealPersonId;gameId;value;YEAR;isTargetScoreLastPeriod;area;areaDetail;shortFormattedClock;jerseyNumber
20;PT10M23.00S;2020-12-23T00:08:56.300Z;1;REGULAR;2pt;Jump Shot;pointsinthepaint, fastbreak;201.142;93;60;1.610.612.751;7;4;2020-12-23T00:09:08Z;190;48;13;1;right;K. Durant pullup Jump Shot (5 PTS);201142;1.610.612.751;BKN;pullup;null;null;null;null;null;null;null;Durant;K. Durant;null;null;null;null;Made;5;4,99;null;null;null;null;null;null;null;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
21;PT10M16.00S;2020-12-23T00:09:02.900Z;1;REGULAR;3pt;Jump Shot;null;201.939;31;74;1.610.612.744;7;4;2020-12-23T00:09:11Z;200;-120;240;1;left;MISS S. Curry 26' pullup 3PT;201939;1.610.612.744;GSW;pullup;null;null;null;null;null;null;null;Curry;S. Curry;null;null;null;null;Missed;null;26,83;null;null;null;null;null;null;null;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
22;PT10M16.00S;2020-12-23T00:09:02.900Z;1;REGULAR;rebound;defensive;null;201.599;null;null;1.610.612.751;7;4;2020-12-23T00:09:11Z;210;null;null;0;null;D. Jordan REBOUND (Off:0 Def:1);201599;1.610.612.751;BKN;null;null;null;null;null;null;null;null;Jordan;D. Jordan;null;null;null;null;null;null;null;null;null;null;21;1;1;0;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
23;PT10M09.00S;2020-12-23T00:09:09.700Z;1;REGULAR;3pt;Jump Shot;fastbreak;203.925;72;20;1.610.612.751;10;4;2020-12-23T00:09:21Z;220;-148;215;1;right;J. Harris 26' 3PT (3 PTS) (S. Dinwiddie 1 AST);203925, 203915;1.610.612.751;BKN;null;null;null;null;null;null;null;null;Harris;J. Harris;null;null;null;null;Made;3;26,08;S. Dinwiddie;203.915;1;null;null;null;null;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
25;PT09M57.00S;2020-12-23T00:09:21.800Z;1;REGULAR;3pt;Jump Shot;null;203.952;14;4;1.610.612.744;10;4;2020-12-23T00:09:36Z;240;231;75;1;left;MISS A. Wiggins 24' 3PT;203952;1.610.612.744;GSW;null;null;null;null;null;null;null;null;Wiggins;A. Wiggins;null;null;null;null;Missed;null;24,33;null;null;null;null;null;null;null;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
26;PT09M51.00S;2020-12-23T00:09:27.800Z;1;REGULAR;rebound;defensive;null;202.681;null;null;1.610.612.751;10;4;2020-12-23T00:09:36Z;250;null;null;0;null;K. Irving REBOUND (Off:0 Def:1);202681;1.610.612.751;BKN;null;null;null;null;null;null;null;null;Irving;K. Irving;null;null;null;null;null;null;null;null;null;null;25;1;1;0;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
27;PT09M49.00S;2020-12-23T00:09:31Z;1;REGULAR;3pt;Jump Shot;fastbreak;203.915;70;74;1.610.612.751;10;4;2020-12-23T00:09:42Z;260;119;230;1;right;MISS S. Dinwiddie 25' 3PT;203915;1.610.612.751;BKN;null;null;null;null;null;null;null;null;Dinwiddie;S. Dinwiddie;null;null;null;null;Missed;null;25,87;null;null;null;null;null;null;null;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
28;PT09M44.00S;2020-12-23T00:09:36Z;1;REGULAR;rebound;defensive;null;1.626.162;null;null;1.610.612.744;10;4;2020-12-23T00:09:42Z;270;null;null;0;null;K. Oubre Jr. REBOUND (Off:0 Def:1);1626162;1.610.612.744;GSW;null;null;null;null;null;null;null;null;Oubre Jr.;K. Oubre Jr.;null;null;null;null;null;null;null;null;null;null;27;1;1;0;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
29;PT09M38.00S;2020-12-23T00:09:41.200Z;1;REGULAR;2pt;Layup;pointsinthepaint;201.939;8;44;1.610.612.744;10;6;2020-12-23T00:09:49Z;280;29;26;1;left;S. Curry cutting Layup (4 PTS) (K. Oubre Jr. 1 AST);201939, 1626162;1.610.612.744;GSW;cutting;null;null;null;null;null;null;null;Curry;S. Curry;null;null;null;null;Made;4;3,91;K. Oubre Jr.;1.626.162;1;null;null;null;null;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
31;PT09M30.00S;2020-12-23T00:09:49.700Z;1;REGULAR;3pt;Jump Shot;fastbreak;203.925;86;97;1.610.612.751;10;6;2020-12-23T00:09:54Z;300;236;80;1;right;MISS J. Harris 24' 3PT;203925;1.610.612.751;BKN;null;null;null;null;null;null;null;null;Harris;J. Harris;null;null;null;null;Missed;null;24,88;null;null;null;null;null;null;null;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
32;PT09M25.00S;2020-12-23T00:09:53.800Z;1;REGULAR;rebound;defensive;null;1.630.164;null;null;1.610.612.744;10;6;2020-12-23T00:09:53Z;310;null;null;0;null;J. Wiseman REBOUND (Off:0 Def:1);1630164;1.610.612.744;GSW;null;null;null;null;null;null;null;null;Wiseman;J. Wiseman;null;null;null;null;null;null;null;null;null;null;31;1;1;0;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
33;PT09M18.00S;2020-12-23T00:10:01.100Z;1;REGULAR;2pt;Jump Shot;null;1.630.164;29;57;1.610.612.744;10;6;2020-12-23T00:10:10Z;320;-33;219;1;left;MISS J. Wiseman 22' Jump Shot;1630164;1.610.612.744;GSW;null;null;null;null;null;null;null;null;Wiseman;J. Wiseman;null;null;null;null;Missed;null;22,13;null;null;null;null;null;null;null;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
34;PT09M14.00S;2020-12-23T00:10:05.100Z;1;REGULAR;rebound;defensive;null;202.681;null;null;1.610.612.751;10;6;2020-12-23T00:10:10Z;330;null;null;0;null;K. Irving REBOUND (Off:0 Def:2);202681;1.610.612.751;BKN;null;null;null;null;null;null;null;null;Irving;K. Irving;null;null;null;null;null;null;null;null;null;null;33;2;2;0;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
35;PT09M10.00S;2020-12-23T00:10:09.600Z;1;REGULAR;3pt;Jump Shot;null;202.681;69;66;1.610.612.751;10;6;2020-12-23T00:10:19Z;340;80;238;1;right;MISS K. Irving 25' pullup 3PT;202681;1.610.612.751;BKN;pullup;null;null;null;null;null;null;null;Irving;K. Irving;null;null;null;null;Missed;null;25,13;null;null;null;null;null;null;null;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
36;PT09M07.00S;2020-12-23T00:10:12.600Z;1;REGULAR;rebound;defensive;null;1.630.164;null;null;1.610.612.744;10;6;2020-12-23T00:10:19Z;350;null;null;0;null;J. Wiseman REBOUND (Off:0 Def:2);1630164;1.610.612.744;GSW;null;null;null;null;null;null;null;null;Wiseman;J. Wiseman;null;null;null;null;null;null;null;null;null;null;35;2;2;0;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
37;PT09M01.00S;2020-12-23T00:10:19.100Z;1;REGULAR;2pt;Jump Shot;null;1.629.672;24;46;1.610.612.744;10;6;2020-12-23T00:10:24Z;360;22;169;1;left;MISS E. Paschall 17' pullup Shot;1629672;1.610.612.744;GSW;pullup;null;null;null;null;null;null;null;Paschall;E. Paschall;null;null;null;null;Missed;null;17,08;null;null;null;null;null;null;null;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
38;PT08M56.00S;2020-12-23T00:10:24.100Z;1;REGULAR;rebound;defensive;null;201.599;null;null;1.610.612.751;10;6;2020-12-23T00:10:24Z;370;null;null;0;null;D. Jordan REBOUND (Off:0 Def:2);201599;1.610.612.751;BKN;null;null;null;null;null;null;null;null;Jordan;D. Jordan;null;null;null;null;null;null;null;null;null;null;37;2;2;0;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
39;PT08M46.00S;2020-12-23T00:10:33.800Z;1;REGULAR;2pt;Jump Shot;null;201.142;84;71;1.610.612.751;12;6;2020-12-23T00:10:42Z;380;107;100;1;right;K. Durant 14' pullup Jump Shot (7 PTS);201142;1.610.612.751;BKN;pullup;null;null;null;null;null;null;null;Durant;K. Durant;null;null;null;null;Made;7;14,64;null;null;null;null;null;null;null;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
40;PT08M46.00S;2020-12-23T00:10:40.700Z;1;REGULAR;foul;personal;1freethrow;1.630.164;null;null;1.610.612.751;12;6;2020-12-23T00:10:55Z;390;null;null;0;null;J. Wiseman shooting personal FOUL (1 PF) (Durant 1 FT);1630164, 201142;1.610.612.744;GSW;shooting;null;null;null;null;null;202.053;null;Wiseman;J. Wiseman;1;0;Durant;201.142;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
42;PT08M46.00S;2020-12-23T00:11:00Z;1;REGULAR;freethrow;1 of 1;null;201.142;null;null;1.610.612.751;13;6;2020-12-23T00:11:00Z;410;null;null;0;null;K. Durant Free Throw 1 of 1 (8 PTS);201142;1.610.612.751;BKN;null;null;null;null;null;null;null;null;Durant;K. Durant;null;null;null;null;Made;8;null;null;null;null;null;null;null;null;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
43;PT08M30.00S;2020-12-23T00:11:20.700Z;1;REGULAR;foul;personal;2freethrow;201.599;null;null;1.610.612.744;13;6;2020-12-23T00:11:36Z;420;null;null;0;null;D. Jordan shooting personal FOUL (1 PF) (Wiggins 2 FT);201599, 203952;1.610.612.751;BKN;shooting;null;null;null;null;null;202.053;null;Jordan;D. Jordan;1;0;Wiggins;203.952;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
45;PT08M30.00S;2020-12-23T00:11:45.900Z;1;REGULAR;freethrow;1 of 2;null;203.952;null;null;1.610.612.744;13;7;2020-12-23T00:11:46Z;440;null;null;0;null;A. Wiggins Free Throw 1 of 2 (1 PTS);203952;1.610.612.744;GSW;null;null;null;null;null;null;null;null;Wiggins;A. Wiggins;null;null;null;null;Made;1;null;null;null;null;null;null;null;null;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
46;PT08M30.00S;2020-12-23T00:12:04.300Z;1;REGULAR;freethrow;2 of 2;null;203.952;null;null;1.610.612.744;13;8;2020-12-23T00:12:04Z;450;null;null;0;null;A. Wiggins Free Throw 2 of 2 (2 PTS);203952;1.610.612.744;GSW;null;null;null;null;null;null;null;null;Wiggins;A. Wiggins;null;null;null;null;Made;2;null;null;null;null;null;null;null;null;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
47;PT08M18.00S;2020-12-23T00:12:16.700Z;1;REGULAR;2pt;Jump Shot;pointsinthepaint;201.142;83;48;1.610.612.751;13;8;2020-12-23T00:12:27Z;460;-12;110;1;right;MISS K. Durant 11' pullup Shot;201142;1.610.612.751;BKN;pullup;null;null;null;null;null;null;null;Durant;K. Durant;null;null;null;null;Missed;null;11,04;null;null;null;null;null;null;null;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
48;PT08M16.00S;2020-12-23T00:12:18.700Z;1;REGULAR;rebound;offensive;team;0;null;null;1.610.612.751;13;8;2020-12-23T00:12:27Z;470;null;null;0;null;TEAM offensive REBOUND;null;1.610.612.751;BKN;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;47;null;null;null;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
49;PT08M16.00S;2020-12-23T00:12:33.100Z;1;REGULAR;stoppage;out-of-bounds;null;0;null;null;1.610.612.751;13;8;2020-12-23T00:12:33Z;480;null;null;0;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
50;PT08M14.00S;2020-12-23T00:12:36Z;1;REGULAR;3pt;Jump Shot;2ndchance;203.915;85;96;1.610.612.751;13;8;2020-12-23T00:12:41Z;490;228;88;1;right;MISS S. Dinwiddie 24' 3PT;203915;1.610.612.751;BKN;null;null;null;null;null;null;null;null;Dinwiddie;S. Dinwiddie;null;null;null;null;Missed;null;24,45;null;null;null;null;null;null;null;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
51;PT08M09.00S;2020-12-23T00:12:40.700Z;1;REGULAR;rebound;offensive;null;203.925;null;null;1.610.612.751;13;8;2020-12-23T00:12:40Z;500;null;null;0;null;J. Harris REBOUND (Off:1 Def:1);203925;1.610.612.751;BKN;null;null;null;null;null;null;null;null;Harris;J. Harris;null;null;null;null;null;null;null;null;null;null;50;2;1;1;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
52;PT08M07.00S;2020-12-23T00:12:42.500Z;1;REGULAR;3pt;Jump Shot;2ndchance;202.681;72;22;1.610.612.751;16;8;2020-12-23T00:12:49Z;510;-138;215;1;right;K. Irving 25' 3PT (5 PTS) (J. Harris 2 AST);202681, 203925;1.610.612.751;BKN;null;null;null;null;null;null;null;null;Irving;K. Irving;null;null;null;null;Made;5;25,54;J. Harris;203.925;2;null;null;null;null;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
54;PT07M57.00S;2020-12-23T00:12:55.400Z;1;REGULAR;foul;offensive;null;1.626.162;null;null;1.610.612.744;16;8;2020-12-23T01:20:44Z;530;null;null;0;null;K. Oubre Jr. offensive FOUL (1 PF);1626162, 203925;1.610.612.744;GSW;null;null;null;null;null;null;202.007;null;Oubre Jr.;K. Oubre Jr.;1;0;Harris;203.925;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
56;PT07M57.00S;2020-12-23T00:12:55.400Z;1;REGULAR;turnover;offensive foul;null;1.626.162;null;null;1.610.612.744;16;8;2020-12-23T00:12:55Z;550;null;null;0;null;K. Oubre Jr. offensive foul TURNOVER (1 TO);1626162;1.610.612.744;GSW;null;null;null;null;null;null;202.007;1;Oubre Jr.;K. Oubre Jr.;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
57;PT07M47.00S;2020-12-23T00:13:14.300Z;1;REGULAR;2pt;Layup;pointsinthepaint, fromturnover, fastbreak;201.142;92;51;1.610.612.751;16;8;2020-12-23T00:13:26Z;560;4;20;1;right;MISS K. Durant driving finger roll Layup;201142;1.610.612.751;BKN;driving finger roll;null;null;null;null;null;null;null;Durant;K. Durant;null;null;null;null;Missed;null;2;null;null;null;null;null;null;null;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
58;PT07M44.00S;2020-12-23T00:13:16.600Z;1;REGULAR;rebound;defensive;null;1.630.164;null;null;1.610.612.744;16;8;2020-12-23T00:13:16Z;570;null;null;0;null;J. Wiseman REBOUND (Off:0 Def:3);1630164;1.610.612.744;GSW;null;null;null;null;null;null;null;null;Wiseman;J. Wiseman;null;null;null;null;null;null;null;null;null;null;57;3;3;0;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
59;PT07M32.00S;2020-12-23T00:13:28.700Z;1;REGULAR;2pt;Layup;pointsinthepaint;203.952;5;47;1.610.612.744;16;8;2020-12-23T00:13:39Z;580;16;-4;1;left;MISS A. Wiggins driving Layup;203952;1.610.612.744;GSW;driving;null;null;null;null;null;null;null;Wiggins;A. Wiggins;null;null;null;null;Missed;null;1,6;null;null;null;null;null;null;null;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
60;PT07M28.00S;2020-12-23T00:13:32.700Z;1;REGULAR;rebound;defensive;null;203.925;null;null;1.610.612.751;16;8;2020-12-23T00:18:11Z;590;null;null;0;null;J. Harris REBOUND (Off:1 Def:2);203925;1.610.612.751;BKN;null;null;null;null;null;null;null;null;Harris;J. Harris;null;null;null;null;null;null;null;null;null;null;59;3;2;1;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
63;PT07M20.00S;2020-12-23T00:13:41.100Z;1;REGULAR;2pt;DUNK;pointsinthepaint;201.142;94;51;1.610.612.751;18;8;2020-12-23T00:13:55Z;620;6;8;1;right;K. Durant driving DUNK (10 PTS) (D. Jordan 1 AST);201142, 201599;1.610.612.751;BKN;driving;null;null;null;null;null;null;null;Durant;K. Durant;null;null;null;null;Made;10;1,07;D. Jordan;201.599;1;null;null;null;null;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
65;PT07M20.00S;2020-12-23T00:13:52.700Z;1;REGULAR;timeout;full;team, mandatory;0;null;null;1.610.612.744;18;8;2020-12-23T00:13:52Z;640;null;null;0;null;GSW Timeout;null;1.610.612.744;GSW;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
66;PT07M20.00S;2020-12-23T00:14:39Z;1;REGULAR;substitution;out;null;1.630.164;null;null;1.610.612.744;18;8;2020-12-23T00:17:06Z;650;null;null;0;null;SUB out: J. Wiseman;1630164;1.610.612.744;GSW;null;null;null;null;null;null;null;null;Wiseman;J. Wiseman;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
67;PT07M20.00S;2020-12-23T00:14:39Z;1;REGULAR;substitution;in;null;1.626.172;null;null;1.610.612.744;18;8;2020-12-23T00:17:06Z;660;null;null;0;null;SUB in: K. Looney;1626172;1.610.612.744;GSW;null;null;null;null;null;null;null;null;Looney;K. Looney;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
68;PT07M06.00S;2020-12-23T00:17:25.500Z;1;REGULAR;2pt;Layup;pointsinthepaint;1.629.672;6;55;1.610.612.744;18;8;2020-12-23T00:17:36Z;670;-26;3;1;left;MISS E. Paschall driving Layup - blocked;1629672, 201599;1.610.612.744;GSW;driving;null;null;null;null;null;null;null;Paschall;E. Paschall;null;null;null;null;Missed;null;2,62;null;null;null;null;null;null;null;Jordan;201.599;null;null;null;22.000.001;null;2020;null;null;null;null;null
69;PT07M06.00S;2020-12-23T00:17:25.500Z;1;REGULAR;block;null;null;201.599;null;null;1.610.612.744;18;8;2020-12-23T00:17:28Z;680;null;null;0;null;D. Jordan BLOCK (1 BLK);201599;1.610.612.751;BKN;null;null;null;null;null;null;null;null;Jordan;D. Jordan;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
70;PT07M01.00S;2020-12-23T00:17:30.500Z;1;REGULAR;rebound;defensive;null;201.599;null;null;1.610.612.751;18;8;2020-12-23T00:17:51Z;690;null;null;0;null;D. Jordan REBOUND (Off:0 Def:3);201599;1.610.612.751;BKN;null;null;null;null;null;null;null;null;Jordan;D. Jordan;null;null;null;null;null;null;null;null;null;null;68;3;3;0;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
71;PT06M58.00S;2020-12-23T00:17:34.300Z;1;REGULAR;2pt;Layup;pointsinthepaint;202.681;89;43;1.610.612.751;20;8;2020-12-23T00:18:58Z;700;-33;54;1;right;K. Irving 6' running Layup (7 PTS);202681;1.610.612.751;BKN;running;null;null;null;null;null;null;null;Irving;K. Irving;null;null;null;null;Made;7;6,33;null;null;null;null;null;null;null;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
72;PT06M41.00S;2020-12-23T00:17:50.700Z;1;REGULAR;3pt;Jump Shot;null;1.626.162;8;4;1.610.612.744;20;8;2020-12-23T00:18:01Z;710;229;21;1;left;MISS K. Oubre Jr. pullup 3PT;1626162;1.610.612.744;GSW;pullup;null;null;null;null;null;null;null;Oubre Jr.;K. Oubre Jr.;null;null;null;null;Missed;null;22,98;null;null;null;null;null;null;null;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
73;PT06M40.00S;2020-12-23T00:17:55.200Z;1;REGULAR;rebound;offensive;null;1.629.672;null;null;1.610.612.744;20;8;2020-12-23T00:17:55Z;720;null;null;0;null;E. Paschall REBOUND (Off:1 Def:0);1629672;1.610.612.744;GSW;null;null;null;null;null;null;null;null;Paschall;E. Paschall;null;null;null;null;null;null;null;null;null;null;72;1;0;1;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
74;PT06M40.00S;2020-12-23T00:17:56Z;1;REGULAR;foul;personal;2freethrow;202.681;null;null;1.610.612.744;20;8;2020-12-23T00:18:17Z;730;null;null;0;null;K. Irving shooting personal FOUL (2 PF) (Paschall 2 FT);202681, 1629672;1.610.612.751;BKN;shooting;null;null;null;null;null;202.053;null;Irving;K. Irving;2;0;Paschall;1.629.672;null;null;null;null;null;null;null;null;null;null;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
76;PT06M40.00S;2020-12-23T00:18:18.100Z;1;REGULAR;freethrow;1 of 2;2ndchance;1.629.672;null;null;1.610.612.744;20;8;2020-12-23T00:18:18Z;750;null;null;0;null;MISS E. Paschall Free Throw 1 of 2;1629672;1.610.612.744;GSW;null;null;null;null;null;null;null;null;Paschall;E. Paschall;null;null;null;null;Missed;null;null;null;null;null;null;null;null;null;null;null;null;null;null;22.000.001;null;2020;null;null;null;null;null
